# BUSCO version is: 5.2.1 
# The lineage dataset is: vertebrata_odb10 (Creation date: 2021-02-19, number of genomes: 67, number of BUSCOs: 3354)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
173at7742	Complete	CM028522.1	60355827	60500238	-	4934.2	3577	https://www.orthodb.org/v10?query=173at7742	G-protein coupled receptor 98
476at7742	Complete	CM028502.1	4586301	4653568	-	8276.7	4226	https://www.orthodb.org/v10?query=476at7742	Ubiquitin protein ligase E3 component n-recognin 4
817at7742	Complete	CM028482.1	154157370	154379613	+	8248.5	3940	https://www.orthodb.org/v10?query=817at7742	E3 ubiquitin-protein ligase MYCBP2 isoform X1
903at7742	Complete	CM028482.1	177478575	177523798	+	7463.6	3922	https://www.orthodb.org/v10?query=903at7742	sacsin
1034at7742	Complete	CM028502.1	5356591	5441598	-	6982.8	3674	https://www.orthodb.org/v10?query=1034at7742	Vacuolar protein sorting 13 homolog D
1270at7742	Complete	CM028496.1	6322590	6385887	-	6598.5	3368	https://www.orthodb.org/v10?query=1270at7742	probable E3 ubiquitin-protein ligase HECTD4
1566at7742	Complete	CM028483.1	19746493	19907451	+	3345.4	2380	https://www.orthodb.org/v10?query=1566at7742	cubilin
1653at7742	Complete	CM028495.1	1330885	1403423	+	7092.8	3298	https://www.orthodb.org/v10?query=1653at7742	transformation/transcription domain-associated protein
1662at7742	Complete	CM028482.1	13249504	13410021	-	3583.9	2129	https://www.orthodb.org/v10?query=1662at7742	reelin
2066at7742	Complete	CM028495.1	8327580	8400795	-	4369.3	2545	https://www.orthodb.org/v10?query=2066at7742	serine/threonine-protein kinase SMG1
2178at7742	Complete	CM028489.1	19406211	19459698	+	4288.9	2499	https://www.orthodb.org/v10?query=2178at7742	protein SZT2
2461at7742	Complete	CM028484.1	2283290	2400266	-	5566.4	2598	https://www.orthodb.org/v10?query=2461at7742	ubiquitin carboxyl-terminal hydrolase 34
2503at7742	Complete	CM028484.1	37610218	37686066	+	4665.0	2872	https://www.orthodb.org/v10?query=2503at7742	lysosomal-trafficking regulator
2845at7742	Complete	CM028482.1	45974257	46039770	+	2173.7	1716	https://www.orthodb.org/v10?query=2845at7742	cilia- and flagella-associated protein 54
3022at7742	Complete	CM028485.1	81643107	81716825	-	3443.1	2003	https://www.orthodb.org/v10?query=3022at7742	huntingtin
3190at7742	Complete	CM028500.1	3693843	3744895	+	4094.2	2299	https://www.orthodb.org/v10?query=3190at7742	zinc finger ZZ-type and EF-hand domain-containing protein 1
3764at7742	Complete	CM028489.1	2611557	2643078	+	3659.4	2941	https://www.orthodb.org/v10?query=3764at7742	abnormal spindle-like microcephaly-associated protein
4106at7742	Complete	CM028502.1	4129628	4189856	-	4609.3	2178	https://www.orthodb.org/v10?query=4106at7742	serine/threonine-protein kinase mTOR
4372at7742	Complete	CM028490.1	10124516	10160119	-	3713.9	2087	https://www.orthodb.org/v10?query=4372at7742	serine/threonine-protein kinase ATR
4443at7742	Complete	CM028496.1	9444528	9484577	+	4298.9	2307	https://www.orthodb.org/v10?query=4443at7742	translational activator GCN1
4577at7742	Complete	CM028500.1	5830020	5847676	-	5018.2	2128	https://www.orthodb.org/v10?query=4577at7742	pre-mRNA-processing-splicing factor 8
4900at7742	Complete	CM028491.1	19759305	19785724	+	1537.8	999	https://www.orthodb.org/v10?query=4900at7742	spatacsin
5018at7742	Complete	CM028522.1	2509600	2577432	+	2936.9	1906	https://www.orthodb.org/v10?query=5018at7742	ectopic P granules protein 5 homolog
5095at7742	Complete	CM028489.1	24973561	25031122	-	3300.1	1736	https://www.orthodb.org/v10?query=5095at7742	ubiquitin carboxyl-terminal hydrolase 24
5422at7742	Complete	CM028486.1	33841221	33891474	-	3348.8	1749	https://www.orthodb.org/v10?query=5422at7742	HECT domain E3 ubiquitin protein ligase 1
