# BUSCO version is: 5.2.1 
# The lineage dataset is: vertebrata_odb10 (Creation date: 2021-02-19, number of genomes: 67, number of BUSCOs: 3354)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
173at7742	Complete	CM000370.1	212777967	213041209	-	6753.8	4717	https://www.orthodb.org/v10?query=173at7742	G-protein coupled receptor 98
476at7742	Complete	CM000371.1	359485245	359693546	+	8418.4	4279	https://www.orthodb.org/v10?query=476at7742	Ubiquitin protein ligase E3 component n-recognin 4
817at7742	Complete	CM000374.1	137393614	137745724	-	8063.1	3950	https://www.orthodb.org/v10?query=817at7742	E3 ubiquitin-protein ligase MYCBP2 isoform X1
903at7742	Complete	CM000371.1	293533045	293578828	-	7168.0	3704	https://www.orthodb.org/v10?query=903at7742	sacsin
1034at7742	Complete	CM000371.1	381439529	381846934	-	6921.0	3688	https://www.orthodb.org/v10?query=1034at7742	Vacuolar protein sorting 13 homolog D
1270at7742	Complete	CM000370.1	497054417	497278271	+	7868.5	3945	https://www.orthodb.org/v10?query=1270at7742	probable E3 ubiquitin-protein ligase HECTD4
1566at7742	Complete	CM000375.1	256860491	257159609	+	4564.8	3063	https://www.orthodb.org/v10?query=1566at7742	cubilin
1653at7742	Complete	CM000373.1	64471071	64654504	+	6405.4	3156	https://www.orthodb.org/v10?query=1653at7742	transformation/transcription domain-associated protein
1662at7742	Complete	CM000375.1	154527679	155065035	-	5677.2	2929	https://www.orthodb.org/v10?query=1662at7742	reelin
2066at7742	Complete	CM000373.1	57731158	57838993	-	5877.3	3073	https://www.orthodb.org/v10?query=2066at7742	serine/threonine-protein kinase SMG1
2178at7742	Complete	CM000369.1	10831574	10905585	-	3481.3	2365	https://www.orthodb.org/v10?query=2178at7742	protein SZT2
2461at7742	Complete	CM000368.1	631188755	631465501	+	5131.2	2629	https://www.orthodb.org/v10?query=2461at7742	ubiquitin carboxyl-terminal hydrolase 34
2503at7742	Complete	CM000369.1	154026778	154221571	+	4854.5	2931	https://www.orthodb.org/v10?query=2503at7742	lysosomal-trafficking regulator
2845at7742	Complete	CM000375.1	73620997	73992782	+	2493.6	2430	https://www.orthodb.org/v10?query=2845at7742	cilia- and flagella-associated protein 54
3022at7742	Complete	CM000372.1	230242517	230433380	-	4628.0	2553	https://www.orthodb.org/v10?query=3022at7742	huntingtin
3190at7742	Complete	DS029406.1	77055	135524	+	2919.7	2074	https://www.orthodb.org/v10?query=3190at7742	zinc finger ZZ-type and EF-hand domain-containing protein 1
3764at7742	Complete	CM000369.1	97411415	97475648	-	3388.4	2808	https://www.orthodb.org/v10?query=3764at7742	abnormal spindle-like microcephaly-associated protein
4106at7742	Complete	CM000371.1	366196020	366307061	+	4318.9	2187	https://www.orthodb.org/v10?query=4106at7742	serine/threonine-protein kinase mTOR
4372at7742	Complete	CM000374.1	217510392	217638815	+	3864.4	2181	https://www.orthodb.org/v10?query=4372at7742	serine/threonine-protein kinase ATR
4443at7742	Complete	CM000370.1	508963144	509038138	-	4005.2	2303	https://www.orthodb.org/v10?query=4443at7742	translational activator GCN1
4577at7742	Complete	CM000369.1	517151432	517168515	-	4610.8	2079	https://www.orthodb.org/v10?query=4577at7742	pre-mRNA-processing-splicing factor 8
4900at7742	Complete	CM000368.1	202598117	202684409	-	2264.9	1770	https://www.orthodb.org/v10?query=4900at7742	spatacsin
5018at7742	Complete	CM000370.1	63937536	64104598	-	2983.1	1921	https://www.orthodb.org/v10?query=5018at7742	ectopic P granules protein 5 homolog
5095at7742	Complete	CM000369.1	37324655	37497249	+	3827.5	2085	https://www.orthodb.org/v10?query=5095at7742	ubiquitin carboxyl-terminal hydrolase 24
5422at7742	Complete	CM000368.1	208180240	208288289	+	4119.0	2147	https://www.orthodb.org/v10?query=5422at7742	HECT domain E3 ubiquitin protein ligase 1
5465at7742	Complete	CM000371.1	226936012	227157493	-	3024.5	1784	https://www.orthodb.org/v10?query=5465at7742	sortilin-related receptor
5520at7742	Complete	CM000371.1	245958318	246118850	-	3589.8	2459	https://www.orthodb.org/v10?query=5520at7742	serine-protein kinase ATM
5604at7742	Complete	CM000375.1	124784461	124969823	+	2957.3	2027	https://www.orthodb.org/v10?query=5604at7742	leucine-rich repeat serine/threonine-protein kinase 2
5938at7742	Complete	CM000375.1	80903207	81003043	+	3650.6	2336	https://www.orthodb.org/v10?query=5938at7742	small subunit processome component 20 homolog
5981at7742	Complete	CM000375.1	272844056	272948188	-	3886.1	1961	https://www.orthodb.org/v10?query=5981at7742	dnaJ homolog subfamily C member 13 isoform X1
6108at7742	Complete	CM000370.1	463915347	463991884	-	3262.7	1764	https://www.orthodb.org/v10?query=6108at7742	DNA polymerase epsilon catalytic subunit A
6126at7742	Complete	CM000369.1	338697197	338782118	+	3645.2	2022	https://www.orthodb.org/v10?query=6126at7742	Dopey family member 1
6253at7742	Complete	CM000371.1	153823309	153867846	+	1635.6	1176	https://www.orthodb.org/v10?query=6253at7742	Replication timing regulatory factor 1
6305at7742	Complete	CM000370.1	368212347	368338158	-	4632.8	2338	https://www.orthodb.org/v10?query=6305at7742	Ubiquitin protein ligase E3 component n-recognin 5
6701at7742	Complete	CM000368.1	744960748	745130362	-	1990.7	1462	https://www.orthodb.org/v10?query=6701at7742	neuroblastoma-amplified sequence
7000at7742	Complete	CM000369.1	414158330	414372585	+	3290.6	1808	https://www.orthodb.org/v10?query=7000at7742	brefeldin A-inhibited guanine nucleotide-exchange protein 3
7262at7742	Complete	CM000375.1	107196967	107421521	-	2528.8	2204	https://www.orthodb.org/v10?query=7262at7742	von Willebrand factor
7732at7742	Complete	CM000368.1	272134002	272233902	-	2461.1	1814	https://www.orthodb.org/v10?query=7732at7742	Zinc finger FYVE-type containing 26
7768at7742	Fragmented	DS029589.1	3	22655	-	1018.1	645	https://www.orthodb.org/v10?query=7768at7742	calcineurin-binding protein cabin-1 isoform X1
8258at7742	Complete	AAFR03066356.1	35395	58077	+	1006.9	1127	https://www.orthodb.org/v10?query=8258at7742	Extra spindle pole bodies like 1, separase
8409at7742	Complete	CM000369.1	517212855	517222598	+	2383.9	1483	https://www.orthodb.org/v10?query=8409at7742	WD repeat-containing protein 81
8503at7742	Complete	CM000371.1	6646892	6763109	+	2732.3	1751	https://www.orthodb.org/v10?query=8503at7742	Dopey family member 2
8757at7742	Complete	CM000374.1	186495209	186616835	-	3168.3	1615	https://www.orthodb.org/v10?query=8757at7742	Phosphoinositide kinase, FYVE-type zinc finger containing
8766at7742	Complete	CM000370.1	294179102	294451082	-	1822.7	1541	https://www.orthodb.org/v10?query=8766at7742	rotatin
8874at7742	Complete	CM000369.1	153072234	153125839	+	2548.7	1760	https://www.orthodb.org/v10?query=8874at7742	HEAT repeat-containing protein 1
8995at7742	Complete	CM000371.1	15764220	15860772	+	2045.0	1662	https://www.orthodb.org/v10?query=8995at7742	nucleolar pre-ribosomal-associated protein 1
9110at7742	Complete	CM000368.1	593552065	593680245	-	2818.0	1623	https://www.orthodb.org/v10?query=9110at7742	anaphase-promoting complex subunit 1
9484at7742	Duplicated	CM000368.1	640096411	640271005	-	2384.2	1819	https://www.orthodb.org/v10?query=9484at7742	spectrin beta chain, non-erythrocytic 4
9484at7742	Duplicated	CM000371.1	384671802	384724850	+	2594.5	1742	https://www.orthodb.org/v10?query=9484at7742	spectrin beta chain, non-erythrocytic 4
9579at7742	Complete	CM000371.1	75332005	75353247	-	2112.6	1743	https://www.orthodb.org/v10?query=9579at7742	Upstream transcription factor family member 3
9683at7742	Complete	CM000369.1	506547129	506584634	-	3155.4	1759	https://www.orthodb.org/v10?query=9683at7742	protein KIAA0100 homolog isoform X1
9744at7742	Complete	CM000375.1	196449681	196538960	+	3370.5	1761	https://www.orthodb.org/v10?query=9744at7742	Nucleoporin 205
10003at7742	Complete	CM000373.1	70637118	70696804	-	3294.9	1791	https://www.orthodb.org/v10?query=10003at7742	integrator complex subunit 1
10136at7742	Complete	CM000370.1	302723136	302734247	+	1090.5	1297	https://www.orthodb.org/v10?query=10136at7742	zinc finger protein 407
10163at7742	Complete	CM000368.1	458194489	458244245	+	1603.6	1369	https://www.orthodb.org/v10?query=10163at7742	protein PRRC2B isoform X1
10485at7742	Complete	CM000369.1	63752297	63825387	+	1940.3	1662	https://www.orthodb.org/v10?query=10485at7742	protein PRRC2C isoform X1
10757at7742	Complete	CM000373.1	246646658	246869248	-	2264.8	1521	https://www.orthodb.org/v10?query=10757at7742	plexin-D1
10899at7742	Complete	CM000369.1	213276208	213320418	-	1701.4	1175	https://www.orthodb.org/v10?query=10899at7742	Integrin beta
11104at7742	Complete	CM000372.1	187241444	187425177	-	3110.8	1544	https://www.orthodb.org/v10?query=11104at7742	NACHT and WD repeat domain-containing protein 2
11195at7742	Complete	CM000374.1	165208195	165649416	-	2896.5	1609	https://www.orthodb.org/v10?query=11195at7742	von Willebrand factor A domain-containing protein 8
11237at7742	Complete	CM000374.1	218979780	219079193	+	3370.8	1683	https://www.orthodb.org/v10?query=11237at7742	Thyroid hormone receptor interactor 12
11472at7742	Complete	CM000368.1	327355318	327422409	+	2771.1	1418	https://www.orthodb.org/v10?query=11472at7742	endoribonuclease Dicer
11505at7742	Complete	CM000373.1	157170789	157240422	+	2499.7	1420	https://www.orthodb.org/v10?query=11505at7742	tuberin isoform X1
11550at7742	Complete	CM000370.1	281165468	281325091	+	1575.9	1291	https://www.orthodb.org/v10?query=11550at7742	centrosomal protein 192 
11696at7742	Complete	CM000368.1	508783904	508821913	-	2624.2	1518	https://www.orthodb.org/v10?query=11696at7742	Intraflagellar transport 172
11895at7742	Complete	CM000370.1	486071898	486175139	+	2634.6	1918	https://www.orthodb.org/v10?query=11895at7742	kinetochore-associated protein 1
12004at7742	Complete	CM000371.1	179504261	179840132	+	2793.6	1415	https://www.orthodb.org/v10?query=12004at7742	E3 ubiquitin-protein ligase UBR3
